Player,Team,Position
Grayson Rodriguez,LAA,P
Matt McLain,CIN,2B
Kyle Bradish,BAL,P
Steven Kwan,CLE,OF
Jarren Duran,BOS,OF
Ryan Jeffers,MIN,C
Zack Gelof,ATH,2B
Brendan Donovan,SEA,3B
Bryson Stott,PHI,2B
Andy Pages,LAD,OF
Bryce Miller,SEA,P
Noelvi Marte,CIN,OF
C.J. Abrams,WAS,SS
Riley Greene,DET,OF
Corbin Carroll,ARI,OF
Gunnar Henderson,BAL,SS
Jack Leiter,TEX,P
Owen Caissie,MIA,OF
Edgardo Henriquez,LAD,P
Michael Busch,CHC,1B
Shota Imanaga,CHC,P
Emmet Sheehan,LAD,P
Vinnie Pasquantino,KC,1B
Dylan Crews,WAS,OF
Hunter Brown,HOU,P
Brenton Doyle,COL,OF
Ryan Pepiot,TB,P
Drake Baldwin,ATL,C
Zach Neto,LAA,SS
Liam Hicks,MIA,C
Mick Abel,MIN,P
Alex Freeland,LAD,2B
Kyle Harrison,MIL,P
Cade Horton,CHC,P
Colt Keith,DET,3B
Nolan McLean,NYM,P
Tyler Soderstrom,ATH,OF
Kyle Teel,CWS,C
Jordan Walker,STL,OF
Masyn Winn,STL,SS
Junior Caminero,TB,3B
Pete Crow-Armstrong,CHC,OF
Coby Mayo,BAL,3B
Brady House,WAS,3B
Jordan Lawlar,ARI,SS
Marcelo Mayer,BOS,2B
Kristian Campbell,BOS,2B
Dillon Dingler,DET,C
Bryan Woo,SEA,P
Cam Schlittler,NYY,P
Daniel Palencia,CHC,P
Jackson Chourio,MIL,OF
Samuel Basallo,BAL,C
Wyatt Langford,TEX,OF
Jacob Misiorowski,MIL,P
Paul Skenes,PIT,P
Mason Miller,SD,P
Chase Burns,CIN,P
Jac Caglianone,KC,OF
Chase Petty,CIN,P
James Wood,WAS,OF
Carter Jensen,KC,C
Colson Montgomery,CWS,SS
Harry Ford,WAS,C
Daylen Lile,WAS,OF
Hunter Goodman,COL,C
Bubba Chandler,PIT,P
Carson Williams,TB,SS
Ben Rice,NYY,1B
Edgar Quero,CWS,C
Kyle Manzardo,CLE,1B
Roman Anthony,BOS,OF
Cam Smith,HOU,OF
Sal Stewart,CIN,1B
Jackson Merrill,SD,OF
Will Warren,NYY,P
Logan Henderson,MIL,P
Nick Kurtz,ATH,1B
Trey Yesavage,TOR,P
Noah Cameron,KC,P
Cole Young,SEA,2B
Caleb Durbin,BOS,3B
Jackson Holliday,BAL,2B
Parker Messick,CLE,P
Chase DeLauter,CLE,OF
Chandler Simpson,TB,OF
Jonah Tong,NYM,P
Jakob Marsee,MIA,OF
Bryce Eldridge,SF,1B
Luke Keaschall,MIN,2B
Roki Sasaki,LAD,P
Yoshinobu Yamamoto,LAD,P
Ben Williamson,TB,3B
Connelly Early,BOS,P
Edwin Diaz,LAD,P
Jose Soriano,LAA,P
Sandy Alcantara,MIA,P
Josue Briceno,DET,C
Munetaka Murakami,CWS,1B
Xavier Isaac,TB,1B
Konnor Griffin,PIT,SS
Aidan Miller,PHI,SS
Felnin Celesten,SEA,SS
Luis Pena,MIL,SS
Bryce Rainer,DET,SS
Walker Jenkins,MIN,OF
Jesus Luzardo,PHI,P
Eury Perez,MIA,P
Thomas White,MIA,P
Esteban Mejia,BAL,P
Jeferson Quero,MIL,C
Eduardo Tait,MIN,C
Francisco Alvarez,NYM,C
TJ Rumfield,COL,1B
Travis Bazzana,CLE,2B
Elly De La Cruz,CIN,SS
Javier Baez,DET,SS
Miquel Vargas,CWS,3B
Yordan Alvarez,HOU,OF
Ronald Acuna Jr.,ATL,OF
Ivan Herrera,STL,OF
Eduardo Quintero,LAD,OF
Carlos Estevez,KC,P
Jhoan Duran,PHI,P
Andrew Painter,PHI,P
Tink Hence,STL,P
Salvador Perez,KC,C
Peter Alonso,BAL,1B
Jeremy Pena,HOU,SS
Jett Williams,MIL,SS
Colt Emerson,SEA,SS
Jesus Made,MIL,SS
Sebastian Walcott,TEX,SS
Arjun Nimmala,TOR,SS
Teoscar Hernandez,LAD,OF
Michael King,SD,P
Matthew Boyd,CHC,P
Hagen Smith,CWS,P
Jose Altuve,HOU,2B
Josuar De Jesus Gonzalez,SF,SS
Kazuma Okamoto,TOR,3B
Maikel Garcia,KC,3B
Ramon Laureano,SD,OF
Josue De Paula,LAD,OF
Zyhir Hope,LAD,OF
Braden Montgomery,CWS,OF
Travis Sykora,WAS,P
Jarlin Susana,WAS,P
J.T. Realmuto,PHI,C
Ethan Salas,SD,C
Alfredo Duno,CIN,C
Luis Arraez,SF,2B
Leo De Vries,ATH,SS
Julio Rodriguez,SEA,OF
Jonny Farmelo,SEA,OF
Slade Caldwell,ARI,OF
Ryan Sloan,SEA,P
J.P. Crawford,SEA,SS
Jose Caballero,NYY,SS
Tommy Troy,ARI,SS
Franklin Arias,BOS,SS
Cooper Pratt,MIL,SS
Cam Collier,CIN,3B
Fernando Tatis Jr.,SD,OF
Eugenio Suarez,CIN,OF
Emmanuel Rodriguez,MIN,OF
Kevin Alcantara,CHC,OF
Charlie Condon,COL,OF
Jasson Dominguez,NYY,OF
Cristopher Sanchez,PHI,P
Tatsuya Imai,HOU,P
Noah Schultz,CWS,P
Kade Anderson,SEA,P
Quinn Mathews,STL,P
Moises Ballesteros,CHC,C
Kevin McGonigle,DET,SS
Yandy Diaz,TB,OF
Lazaro Montes,SEA,OF
Max Clark,DET,OF
Jaison Chourio,CLE,OF
Andres Munoz,SEA,P
Carlos Rodon,NYY,P
Ranger Suarez,BOS,P
Jackson Ferris,LAD,P
Agustin Ramirez,MIA,C
Adrian Del Castillo,ARI,C
JJ Wetherholt,STL,2B
Andres Gimenez,TOR,SS
Angel Genao,CLE,SS
Jefferson Rojas,CHC,SS
Jose Ramirez,CLE,3B
Adolis Garcia,PHI,OF
